,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,year,month
3656,3,1.75,1330,13102,1.0,0,0,3,7,1330,0,1968,0,98003,47.3172,-122.322,2014,6
3662,3,1.75,1250,13775,1.0,0,2,3,7,1250,0,1990,0,98045,47.4981,-121.772,2014,7
3666,4,2.5,3860,5130,2.0,0,0,3,8,2930,930,2004,0,98065,47.5387,-121.879,2014,9
3668,4,2.5,3890,34513,2.0,0,0,3,10,3890,0,1996,0,98077,47.7749,-122.048,2014,9
3671,3,2.0,2420,208652,1.5,0,0,3,8,2420,0,2005,0,98010,47.3666,-121.978,2014,7
3673,5,1.5,2940,13425,1.0,0,0,3,8,1470,1470,1955,0,98155,47.7632,-122.29,2015,2
3681,3,1.75,1890,5000,1.0,0,0,3,7,1890,0,2003,0,98092,47.3357,-122.175,2015,5
3687,4,1.75,2410,6000,1.5,0,0,3,8,2410,0,1911,0,98109,47.6369,-122.355,2014,10
3689,3,1.0,920,3532,1.0,0,0,3,6,920,0,1910,0,98118,47.5539,-122.268,2014,7
3693,4,2.0,2090,10800,1.0,0,0,4,7,2090,0,1951,0,98040,47.5759,-122.223,2014,7
3695,3,2.25,1970,4564,1.0,0,0,3,8,1470,500,1959,0,98199,47.6703,-122.41,2014,11
3697,3,1.5,1840,5000,1.5,0,0,5,7,1340,500,1915,0,98107,47.6652,-122.362,2014,6
3709,4,1.75,2420,7672,1.0,0,0,3,8,1480,940,1979,0,98027,47.5637,-122.085,2014,5
3710,3,1.5,1200,7236,1.0,0,0,3,7,1200,0,1975,0,98011,47.739,-122.194,2015,2
3722,3,3.5,2690,104544,2.0,0,0,3,8,2690,0,1948,1990,98072,47.7717,-122.112,2014,10
3728,2,1.75,1320,2609,1.0,0,0,4,7,920,400,1938,0,98117,47.6878,-122.366,2014,12
3732,3,1.25,2350,6200,1.0,0,0,4,7,1320,1030,1966,0,98007,47.5979,-122.135,2014,12
3736,3,1.75,1030,4800,1.0,0,0,3,6,930,100,1927,0,98126,47.566,-122.373,2015,4
3742,3,2.25,2260,33080,1.0,0,0,5,9,1690,570,1974,0,98005,47.6386,-122.183,2014,10
3753,2,1.0,1140,5400,1.0,0,0,5,7,1140,0,1908,0,98112,47.6205,-122.294,2014,5
3756,3,2.5,2260,5500,1.5,0,0,3,7,1280,980,1910,0,98117,47.681,-122.388,2014,12
3772,5,1.5,1830,94960,1.5,0,0,3,7,1830,0,1929,0,98031,47.4218,-122.218,2014,9
3775,4,2.5,2960,223462,2.0,0,0,3,10,2960,0,2001,0,98030,47.3646,-122.211,2015,1
3777,5,4.0,3310,8400,2.0,0,0,3,10,3310,0,2000,0,98033,47.6914,-122.214,2015,3
3782,4,2.75,2500,5257,2.0,0,0,3,8,2500,0,1966,0,98118,47.5293,-122.287,2014,5
3784,3,1.5,1290,1286,3.0,0,0,3,7,1290,0,2000,0,98103,47.6617,-122.349,2014,6
3790,3,2.75,2390,9313,1.0,0,0,5,8,1390,1000,1942,0,98133,47.7209,-122.331,2014,6
3791,4,2.75,2740,6200,1.5,0,3,4,8,1820,920,1947,0,98125,47.7084,-122.277,2014,8
3800,2,1.5,1159,4800,1.0,0,0,3,7,1159,0,1948,0,98199,47.6592,-122.399,2014,5
3803,3,3.25,2260,3727,2.0,0,0,3,8,1880,380,2003,0,98119,47.6422,-122.361,2014,12
3805,1,0.75,760,5746,1.0,0,0,4,5,760,0,1915,0,98002,47.3046,-122.215,2015,5
3813,4,4.0,5780,7173,2.0,0,0,3,11,4130,1650,2008,0,98112,47.6374,-122.288,2014,12
3815,4,2.75,2500,10330,1.0,0,0,4,8,1380,1120,1978,0,98155,47.7743,-122.286,2014,8
3821,5,3.75,4220,9240,2.0,0,2,5,11,3420,800,1991,0,98040,47.5895,-122.229,2014,9
3823,4,2.0,2610,14321,1.5,0,0,4,6,1690,920,1940,0,98188,47.4672,-122.296,2014,10
3830,4,1.75,1640,13566,1.0,0,0,4,7,1120,520,1977,0,98072,47.7423,-122.099,2015,2
3839,2,1.0,1150,6000,1.0,0,1,4,7,710,440,1921,0,98033,47.6841,-122.213,2015,2
3842,3,2.0,2220,5000,1.0,0,0,4,7,1110,1110,1966,0,98116,47.5807,-122.394,2015,2
3844,3,3.5,1540,1427,2.0,0,0,3,7,1360,180,2007,0,98109,47.542,-122.322,2014,10
3847,3,2.0,1430,9250,1.0,0,0,4,8,990,440,1983,0,98052,47.6952,-122.096,2015,4
3849,4,2.5,3010,5701,2.0,0,0,3,8,3010,0,2003,0,98042,47.3492,-122.152,2014,8
3852,3,2.5,2260,93218,1.0,0,2,4,6,2260,0,1998,0,98022,47.2582,-121.935,2015,3
3853,4,2.25,2820,5000,1.5,0,2,4,9,1800,1020,1926,0,98122,47.6097,-122.287,2015,4
3855,3,2.25,1630,9145,1.0,0,0,3,7,1630,0,1960,0,98146,47.5,-122.347,2014,7
3857,3,3.25,2200,7440,2.0,0,0,4,7,1710,490,1947,0,98118,47.5409,-122.268,2015,3
3860,4,2.5,2250,10696,2.0,0,0,3,8,2250,0,1996,0,98006,47.5715,-122.128,2015,4
3867,4,3.0,2640,5267,2.0,0,0,3,7,2640,0,2001,0,98065,47.5298,-121.88,2015,4
3869,4,2.5,2440,3600,2.5,0,0,4,8,2440,0,1902,0,98119,47.6298,-122.362,2014,6
3874,1,1.0,970,7639,1.0,0,0,4,5,570,400,1920,0,98166,47.4655,-122.346,2015,5
3878,3,1.0,1010,7920,1.0,0,0,3,6,1010,0,1925,0,98126,47.5249,-122.37,2014,12
3879,3,1.0,1010,7920,1.0,0,0,3,6,1010,0,1925,0,98126,47.5249,-122.37,2015,3
3881,3,1.0,970,7275,1.0,0,0,4,7,970,0,1970,0,98031,47.4006,-122.188,2014,5
3904,4,2.5,2720,10455,2.0,0,2,3,10,2500,220,1981,0,98006,47.5564,-122.158,2014,9
3905,3,2.25,2180,6850,1.0,0,0,3,7,1750,430,1973,0,98034,47.7246,-122.217,2014,7
3914,5,4.5,10040,37325,2.0,1,2,3,11,7680,2360,1940,2001,98004,47.65,-122.214,2014,6
3915,3,2.25,1670,9500,1.0,0,0,3,7,1170,500,1977,0,98125,47.7253,-122.309,2014,8
3921,4,2.75,4250,10925,2.0,0,0,3,10,4250,0,2003,0,98059,47.5297,-122.14,2015,4
3928,3,2.75,4120,16365,1.0,0,2,3,12,4120,0,1999,0,98059,47.5265,-122.148,2015,4
3931,4,2.5,2350,4675,2.0,0,0,3,9,2150,200,1923,0,98112,47.6344,-122.305,2015,5
3941,3,2.25,1610,8296,2.0,0,0,3,8,1610,0,1978,0,98115,47.7,-122.297,2014,8
3945,3,1.75,1740,8528,1.0,0,0,4,7,1290,450,1939,0,98125,47.7097,-122.303,2014,12
3946,3,1.5,1950,4473,1.0,0,0,4,6,1530,420,1914,0,98034,47.7094,-122.228,2015,1
3955,3,1.0,1000,9150,1.0,0,0,3,7,1000,0,1969,0,98059,47.4829,-122.124,2014,6
3960,2,1.5,1660,4000,1.0,0,0,3,7,1000,660,1950,0,98115,47.6832,-122.304,2014,9
3969,3,2.75,2850,8039,1.0,0,0,4,8,1540,1310,1989,0,98031,47.4141,-122.204,2014,7
3971,3,1.75,1470,6250,1.0,0,3,4,7,1070,400,1939,0,98155,47.7394,-122.288,2014,6
3973,4,2.25,2460,11250,1.0,0,0,4,8,2460,0,1959,0,98002,47.3182,-122.212,2014,6
3979,3,1.0,1140,7560,1.0,0,0,4,6,1140,0,1958,0,98058,47.4624,-122.185,2014,9
3980,4,1.5,1950,6300,1.5,0,1,3,7,1650,300,1944,0,98115,47.6819,-122.271,2015,3
3981,4,1.75,2000,25700,1.0,0,0,4,7,1150,850,1958,0,98023,47.32,-122.362,2015,2
3984,1,1.0,720,6000,1.0,0,0,3,6,720,0,1940,0,98108,47.5266,-122.316,2014,6
3987,1,1.0,590,833,1.0,0,0,4,7,590,0,1926,0,98122,47.6082,-122.299,2014,7
3995,3,1.75,1350,7588,1.0,0,0,3,7,1350,0,1993,0,98010,47.3123,-122.023,2014,12
3997,4,1.75,2530,5000,1.5,0,2,5,8,2070,460,1917,0,98103,47.6624,-122.348,2014,8
3998,3,1.0,1280,10500,1.5,0,0,4,5,1280,0,1941,0,98024,47.566,-121.894,2014,7
3999,3,1.75,1060,38644,1.0,0,0,3,7,1060,0,1983,0,98077,47.7442,-122.072,2014,7
4016,3,2.0,1290,5700,1.0,0,0,5,7,1290,0,1950,0,98116,47.5713,-122.397,2014,10
4023,4,3.5,4610,11676,2.0,0,0,3,10,4610,0,2000,0,98075,47.6011,-121.983,2015,4
4025,3,2.5,2860,5805,2.0,0,0,3,9,2860,0,1999,0,98005,47.6218,-122.16,2015,1
4026,3,2.0,1810,11456,1.0,0,0,3,7,1810,0,1970,0,98045,47.4648,-121.756,2015,1
4030,3,3.5,1450,1091,2.0,0,0,3,8,1200,250,2007,0,98119,47.6475,-122.359,2015,4
4034,3,2.5,1780,1754,3.0,0,0,3,8,1780,0,2007,0,98126,47.548,-122.373,2014,9
4036,4,3.25,2860,3680,2.0,0,0,3,9,1980,880,1925,1993,98115,47.6752,-122.3,2015,3
4037,3,1.5,2540,9520,1.0,0,0,3,8,1500,1040,1959,0,98115,47.6834,-122.306,2014,7
4042,3,2.0,1910,13505,1.0,0,0,3,8,1910,0,1955,0,98034,47.7114,-122.23,2015,4
4043,3,1.75,1460,2800,2.0,0,0,3,7,1460,0,1928,0,98117,47.6779,-122.371,2015,1
4044,3,1.5,1420,22100,1.0,0,0,5,7,1420,0,1957,0,98042,47.4193,-122.149,2014,11
4054,3,2.25,2070,15002,1.5,0,0,3,8,2070,0,1955,2013,98155,47.7635,-122.274,2014,6
4060,4,1.75,1730,11700,1.0,0,0,3,7,880,850,1956,0,98008,47.6031,-122.13,2014,10
4061,3,2.5,2090,9847,2.0,0,2,3,9,2090,0,1983,0,98006,47.5651,-122.114,2015,2
4072,3,1.5,860,3200,1.0,0,0,3,6,860,0,1929,0,98117,47.6791,-122.362,2015,4
4076,3,1.75,1660,10150,1.5,0,0,3,7,1660,0,1957,0,98133,47.7512,-122.342,2014,6
4087,2,1.0,910,4725,1.0,0,0,3,7,910,0,1949,0,98115,47.676,-122.281,2014,12
4090,2,2.0,1540,7290,2.0,0,0,3,7,1540,0,1948,1983,98136,47.551,-122.395,2014,11
4094,3,2.25,2675,40910,2.0,0,0,3,8,2675,0,1984,0,98075,47.5916,-122.055,2014,5
4098,3,3.25,2990,189852,2.0,0,0,4,10,2990,0,1974,0,98072,47.746,-122.138,2014,10
4099,4,3.0,3720,14125,1.0,0,0,4,9,1930,1790,1960,0,98005,47.5911,-122.177,2014,11
4104,3,1.75,1590,11454,1.0,0,0,4,8,1590,0,1979,0,98056,47.5049,-122.186,2014,12
4106,4,2.5,3770,10893,2.0,0,2,3,11,3770,0,1997,0,98006,47.5646,-122.129,2014,8
4108,4,2.5,2820,10125,2.0,0,0,3,8,2820,0,2008,0,98155,47.7494,-122.304,2015,3
4113,3,1.75,1430,11761,1.0,0,0,4,8,1430,0,1964,0,98052,47.6686,-122.157,2014,11
4115,4,2.0,2250,7500,1.0,0,0,5,7,1200,1050,1956,0,98005,47.5877,-122.157,2014,5
4119,4,1.75,1690,8392,1.0,0,0,3,7,1190,500,1979,0,98028,47.773,-122.256,2015,4
4121,4,2.5,2410,7069,2.0,0,0,3,9,2410,0,1993,0,98034,47.7094,-122.234,2014,11
4137,3,2.5,1610,1320,2.0,0,0,3,7,1280,330,2007,0,98144,47.6,-122.298,2015,3
4154,3,2.25,1670,1396,2.0,0,0,3,9,1250,420,2015,0,98115,47.6814,-122.288,2015,4
4155,3,2.5,2480,8342,2.0,0,0,3,8,2480,0,1986,0,98058,47.4381,-122.134,2014,5
4158,3,2.5,2880,10126,2.0,0,0,4,10,2880,0,1985,0,98074,47.6319,-122.037,2015,3
4162,3,2.0,1510,3000,1.0,0,0,4,7,910,600,1972,0,98115,47.6804,-122.319,2014,9
4165,4,2.5,3180,20870,2.0,0,0,3,8,2120,1060,1967,0,98034,47.7176,-122.241,2014,11
4166,4,2.0,2260,6000,1.0,0,0,3,8,1430,830,1958,0,98115,47.6876,-122.298,2014,5
4167,4,2.5,1920,7277,2.0,0,0,4,8,1920,0,1990,0,98031,47.4058,-122.192,2015,5
4169,2,1.0,1200,8063,1.0,0,0,4,6,1200,0,1958,0,98198,47.4204,-122.324,2014,5
4171,4,1.5,2010,7561,1.5,0,0,4,7,1890,120,1921,0,98002,47.311,-122.227,2014,12
4173,5,2.5,2710,14989,1.0,0,0,3,8,1720,990,1959,0,98004,47.6411,-122.207,2015,2
4174,5,1.0,1950,6250,1.5,0,0,4,7,1450,500,1917,0,98136,47.5511,-122.386,2015,4
4177,2,2.5,1380,951,3.0,0,0,3,9,1380,0,2006,0,98103,47.6654,-122.355,2014,6
4179,3,1.5,1800,22000,2.0,0,0,3,8,1800,0,1931,0,98168,47.4889,-122.286,2014,7
4180,3,1.0,1310,15022,1.0,0,0,3,7,1310,0,1934,1984,98168,47.5008,-122.332,2015,3
4183,3,2.25,1750,8900,2.0,0,0,4,8,1750,0,1977,0,98058,47.4451,-122.136,2014,7
4185,3,1.75,1230,1441,2.0,0,0,3,8,1010,220,2004,0,98116,47.5626,-122.382,2015,1
4189,4,2.75,3680,5000,2.0,0,3,3,9,2480,1200,1936,0,98105,47.6599,-122.269,2014,10
4193,3,1.5,1340,1110,2.0,0,0,3,7,1040,300,1999,0,98117,47.698,-122.366,2014,9
4195,4,1.0,2590,18224,1.5,0,0,4,7,2000,590,1911,0,98118,47.5318,-122.286,2014,8
4207,4,2.5,2640,7388,2.0,0,0,3,7,2640,0,2003,0,98038,47.3505,-122.027,2015,4
4214,4,1.75,2120,7725,1.0,0,0,3,8,1220,900,1965,0,98007,47.6003,-122.144,2015,3
4219,5,1.75,3290,8000,1.0,0,0,3,7,1790,1500,1968,0,98030,47.3733,-122.214,2015,1
4224,3,1.75,1995,18360,2.0,0,0,3,7,1995,0,1957,0,98198,47.4129,-122.322,2014,8
4226,3,2.5,2720,62310,1.0,0,0,3,8,2040,680,1985,0,98038,47.4168,-122.074,2015,5
4232,3,2.75,1880,1793,2.0,0,0,3,7,1810,70,2001,0,98108,47.5405,-122.293,2014,8
4235,9,3.0,3680,4400,2.0,0,0,3,7,2830,850,1908,0,98102,47.6374,-122.324,2015,1
4240,6,3.0,2860,17853,1.0,0,0,3,8,1430,1430,1962,2015,98006,47.546,-122.175,2015,3
4244,4,3.25,3400,99170,1.0,0,0,4,8,2000,1400,1980,0,98072,47.7293,-122.099,2014,10
4247,2,1.0,940,9839,1.0,0,0,3,6,940,0,1910,0,98136,47.5379,-122.386,2014,6
4251,3,2.5,2610,7510,2.0,0,0,3,9,2610,0,1996,0,98052,47.6648,-122.137,2014,6
4253,4,3.25,2880,35315,1.0,0,0,3,11,2270,610,1982,0,98005,47.6587,-122.163,2015,5
4258,5,2.25,1970,15247,1.0,0,0,3,7,1450,520,1986,0,98024,47.5669,-121.905,2014,6
4260,3,2.0,1580,4010,1.0,0,0,4,7,790,790,1909,0,98117,47.6769,-122.371,2014,11
4261,4,1.5,2130,8800,1.0,0,0,3,7,1100,1030,1962,0,98032,47.383,-122.288,2014,5
4266,3,3.0,3290,80471,2.0,0,2,4,8,2330,960,1975,0,98070,47.504,-122.464,2014,7
4269,3,1.75,1690,8901,1.0,0,0,3,7,1690,0,1986,0,98030,47.3546,-122.176,2015,2
4270,5,1.0,1690,3240,1.5,0,0,3,7,1690,0,1914,0,98115,47.6746,-122.325,2014,9
4272,4,3.75,1980,4095,2.0,0,0,3,9,1980,0,2009,0,98103,47.6901,-122.356,2014,7
4273,3,2.5,1490,8102,2.0,0,0,4,7,1490,0,1990,0,98042,47.3712,-122.092,2014,7
4283,4,2.5,3050,32450,1.0,0,0,4,8,1550,1500,1983,0,98030,47.3626,-122.209,2014,9
4286,3,2.75,1910,15508,1.0,0,0,3,8,1210,700,1984,0,98023,47.3128,-122.345,2015,3
4287,3,2.0,1510,7066,1.0,0,2,3,7,1230,280,1973,0,98125,47.7053,-122.303,2014,5
4291,2,1.0,1550,7713,1.0,0,0,3,7,1550,0,1930,1979,98117,47.7005,-122.358,2014,9
4292,3,1.0,1060,7920,1.0,0,0,4,7,1060,0,1968,0,98106,47.5649,-122.358,2014,7
4294,3,2.5,1550,12920,2.0,0,0,5,7,1550,0,1999,0,98033,47.6973,-122.194,2014,5
4300,3,1.75,1340,196020,1.0,0,0,4,7,1340,0,1987,0,98010,47.2931,-121.992,2015,2
4308,2,2.5,1620,3196,2.0,0,0,3,8,1620,0,2008,0,98065,47.5167,-121.878,2014,6
4309,2,1.75,2330,7280,1.0,0,0,3,7,1450,880,1982,0,98188,47.4282,-122.28,2015,4
4311,4,2.5,2840,8746,2.0,0,0,3,8,2840,0,2001,0,98022,47.19,-122.013,2014,11
4324,4,2.5,2060,8968,1.0,0,0,4,7,1190,870,1975,0,98155,47.7686,-122.317,2014,12
4328,2,1.0,1980,5000,1.0,0,0,4,7,1090,890,1923,0,98144,47.586,-122.295,2014,6
4329,2,1.0,860,6800,1.0,0,0,3,6,860,0,1943,0,98133,47.7274,-122.337,2014,10
4330,3,1.75,1460,9261,1.0,0,0,3,7,1460,0,1985,0,98056,47.5155,-122.189,2014,8
4335,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,98105,47.6578,-122.28,2014,5
4338,3,2.25,1600,39848,1.0,0,3,4,8,1600,0,1958,0,98022,47.1991,-122.013,2014,9
4340,3,1.75,1960,6380,1.0,0,0,4,7,980,980,1939,0,98115,47.6975,-122.316,2014,6
4346,3,2.25,1990,4977,3.0,0,0,3,9,1990,0,2012,0,98118,47.5404,-122.268,2015,3
4348,4,1.75,2060,4080,1.5,0,0,3,7,1460,600,1922,1996,98105,47.6698,-122.325,2014,11
4357,2,1.0,1620,6120,1.0,0,0,3,7,1620,0,1951,0,98115,47.6731,-122.326,2015,4
4362,2,1.0,1120,88327,1.5,0,0,4,6,1120,0,1972,0,98010,47.3205,-121.867,2014,8
4370,4,2.5,3000,8645,2.0,0,0,3,8,3000,0,1985,0,98034,47.7315,-122.224,2014,9
4373,3,1.0,990,8255,1.0,0,0,3,7,990,0,1953,0,98148,47.425,-122.331,2014,12
4374,3,1.0,1250,7280,1.0,0,0,3,7,1250,0,1965,0,98001,47.3414,-122.286,2015,1
4382,3,2.25,1960,6500,2.0,0,0,4,8,1960,0,1977,0,98052,47.6642,-122.129,2014,8
4387,4,3.5,3370,435600,2.0,0,3,3,9,3370,0,2005,0,98045,47.4398,-121.738,2014,5
4388,3,1.0,1160,4360,1.0,0,0,4,8,1160,0,1929,0,98105,47.6718,-122.291,2014,8
4390,1,0.75,820,59677,1.0,0,0,3,5,820,0,1999,0,98065,47.5316,-121.764,2014,5
4391,4,2.5,2800,4687,2.0,0,0,3,9,2800,0,2005,0,98038,47.3594,-122.04,2014,11
4395,3,3.0,2010,2554,2.0,0,0,3,7,1860,150,2001,0,98118,47.5525,-122.269,2015,3
4396,3,2.0,2880,5100,1.5,0,0,4,7,2080,800,1926,0,98117,47.6805,-122.385,2014,8
4399,4,3.25,4400,262666,2.0,0,0,3,11,4400,0,1988,0,98075,47.5927,-122.064,2014,11
4403,3,1.5,1980,11214,1.0,0,0,3,7,1980,0,1959,0,98168,47.4696,-122.298,2014,12
4412,4,2.5,3520,35991,2.0,0,0,4,10,3520,0,1992,0,98077,47.7437,-122.035,2014,11
4413,4,2.25,3740,18000,1.0,0,0,4,9,1870,1870,1951,0,98177,47.7027,-122.378,2014,9
4415,4,3.25,3526,15958,2.0,0,0,3,10,3526,0,1997,0,98075,47.567,-122.033,2015,5
4419,2,1.0,1270,6000,1.0,0,0,3,7,1270,0,1939,0,98199,47.6482,-122.393,2015,3
4420,4,1.5,1970,14490,1.5,0,0,4,7,1970,0,1963,0,98059,47.4612,-122.069,2014,8
4423,3,2.5,3020,5868,2.0,0,0,3,7,3020,0,2003,0,98092,47.3361,-122.175,2014,8
4428,5,3.5,4320,40816,2.0,0,0,4,11,4320,0,1997,0,98004,47.644,-122.185,2015,4
4429,3,2.5,2700,9994,1.0,0,3,4,7,1350,1350,1959,0,98198,47.397,-122.321,2014,6
4433,4,2.75,2610,9077,1.0,0,0,4,8,1310,1300,1987,0,98058,47.4612,-122.147,2014,7
4434,3,2.5,2630,5827,2.0,0,0,3,8,2630,0,2001,0,98053,47.688,-122.038,2014,7
4435,3,1.5,1090,7698,1.0,0,0,5,7,1090,0,1966,0,98058,47.4553,-122.174,2014,11
4438,3,1.0,1300,3600,2.0,0,0,3,7,1300,0,1900,0,98119,47.6345,-122.366,2015,4
4444,2,2.5,2300,6400,1.0,0,0,3,8,2300,0,2007,0,98053,47.7196,-122.02,2014,12
4445,4,3.0,2483,6870,2.0,0,0,3,8,2483,0,2005,0,98030,47.3627,-122.199,2015,4
4449,2,1.0,960,5096,1.0,0,0,5,7,960,0,1949,0,98126,47.5314,-122.378,2014,11
4452,3,1.0,1910,8190,1.0,0,0,4,7,1010,900,1946,0,98117,47.697,-122.365,2014,5
4456,2,1.5,1940,4400,1.0,0,0,3,7,970,970,1923,0,98112,47.6371,-122.279,2015,3
4458,4,2.75,3040,2800,2.0,0,0,3,9,2100,940,1906,2014,98102,47.6245,-122.327,2014,5
4459,3,1.0,1240,11108,1.0,0,0,4,7,1240,0,1952,0,98166,47.4465,-122.354,2014,6
4460,3,2.25,2210,11585,1.0,0,0,4,7,1510,700,1958,0,98155,47.7574,-122.279,2014,8
4466,2,1.0,980,4108,1.0,0,0,3,7,980,0,1947,0,98117,47.687,-122.381,2014,11
4467,3,1.0,980,3090,1.5,0,0,3,6,980,0,1903,0,98118,47.5525,-122.277,2014,5
4468,4,3.75,4420,9492,2.0,0,1,3,9,3420,1000,1962,2005,98125,47.7211,-122.283,2014,10
4471,4,1.75,1830,6000,1.0,0,0,4,7,930,900,1939,0,98199,47.6536,-122.41,2014,8
4474,3,4.0,4380,42769,2.0,0,0,5,11,4380,0,1983,0,98052,47.7167,-122.109,2014,5
4478,3,1.0,1250,9427,1.0,0,0,3,6,1250,0,1931,0,98034,47.7254,-122.175,2015,4
4483,4,2.5,3280,5876,2.0,0,0,3,7,3280,0,2004,0,98053,47.6802,-122.034,2015,3
4484,4,3.5,3490,87497,2.0,0,0,3,9,3490,0,2001,0,98038,47.4028,-122.002,2014,8
4493,4,1.75,1790,11801,1.0,0,0,4,8,1790,0,1974,0,98056,47.5172,-122.17,2015,2
4499,3,3.25,1370,1194,3.0,0,0,3,8,1370,0,2004,0,98107,47.6718,-122.388,2014,8
4505,4,2.25,2640,34870,1.0,0,0,3,8,1770,870,1977,0,98027,47.4688,-122.009,2014,7
4516,4,2.5,2440,5088,2.0,0,0,3,7,2440,0,2007,0,98065,47.5406,-121.889,2014,9
4519,3,2.0,1550,8509,1.0,0,0,3,7,1150,400,1959,0,98106,47.5299,-122.344,2014,5
4523,3,1.5,1670,3852,2.0,0,3,4,8,1670,0,1928,0,98119,47.6411,-122.371,2015,4
4525,4,1.5,2220,6811,1.0,0,0,4,7,1270,950,1961,0,98056,47.5059,-122.193,2014,7
4533,3,2.0,2360,5737,2.0,0,0,3,8,2360,0,2003,0,98028,47.7633,-122.262,2014,8
4537,4,2.25,2330,7220,2.0,0,1,3,8,1600,730,1988,0,98177,47.7764,-122.386,2015,4
4541,3,1.75,1640,4590,1.5,0,0,5,7,1640,0,1951,0,98115,47.6846,-122.294,2015,2
4546,3,1.75,1300,8480,1.0,0,0,3,7,1300,0,1969,0,98052,47.6991,-122.13,2014,9
4549,3,1.0,1330,5412,2.0,0,0,5,7,1330,0,1905,0,98022,47.2053,-121.993,2014,6
4552,2,1.0,880,6731,1.0,0,0,4,7,880,0,1950,0,98116,47.5694,-122.395,2014,8
4555,5,2.25,2510,35691,1.0,0,0,3,9,2510,0,1967,0,98005,47.6435,-122.154,2015,5
4562,3,2.0,1750,4990,1.0,0,0,3,7,950,800,1916,0,98107,47.6667,-122.361,2014,9
4563,2,1.0,930,7623,1.0,0,0,2,6,930,0,1942,0,98166,47.467,-122.349,2014,6
4568,4,1.0,1310,6000,1.5,0,0,3,7,1310,0,1940,0,98144,47.5822,-122.295,2014,7
4571,3,1.75,1460,4000,1.0,0,2,4,7,730,730,1929,0,98144,47.5768,-122.307,2015,2
4572,5,2.75,3060,7015,1.0,0,0,5,8,1600,1460,1979,0,98146,47.5052,-122.372,2014,5
4578,3,2.5,2790,31798,1.0,0,0,5,8,1650,1140,1953,0,98027,47.5241,-122.039,2014,8
4584,3,1.5,1440,28516,1.0,0,0,4,7,1440,0,1975,0,98075,47.5829,-122.005,2014,6
4586,3,1.75,1726,197326,2.0,0,0,4,7,1726,0,1982,0,98070,47.3484,-122.505,2014,5
4592,5,3.25,3760,9792,2.0,0,0,3,9,2550,1210,1984,0,98006,47.5654,-122.115,2014,7
4595,3,1.75,1260,6500,1.0,0,0,4,7,1260,0,1966,0,98008,47.6224,-122.116,2014,5
4598,6,5.25,3600,3960,2.0,0,0,3,7,2400,1200,1971,0,98126,47.5656,-122.372,2014,11
4599,3,2.75,3150,5520,1.5,0,0,4,8,2130,1020,1925,0,98112,47.6345,-122.302,2015,4
4600,2,1.75,1280,4000,1.0,0,0,4,7,730,550,1929,0,98116,47.5798,-122.383,2015,1
4602,4,2.5,2190,6578,2.0,0,0,3,7,2190,0,2004,0,98065,47.5305,-121.847,2014,10
4607,3,1.0,1250,7560,1.0,0,0,3,6,1250,0,1959,0,98058,47.4493,-122.173,2015,4
4608,4,2.5,4660,7157,2.0,0,0,3,9,3020,1640,2003,0,98059,47.5352,-122.156,2014,8
4614,3,2.0,1460,6377,1.0,0,0,3,7,1460,0,1995,0,98038,47.3679,-122.02,2014,6
4615,2,1.0,770,6017,1.0,0,0,3,7,770,0,1950,0,98125,47.7223,-122.321,2015,4
4616,4,2.5,1960,3543,2.0,0,0,3,7,1960,0,2004,0,98056,47.4849,-122.184,2014,8
4617,3,1.75,1900,10454,1.0,0,0,3,7,1390,510,1978,0,98155,47.7748,-122.291,2014,10
4627,4,3.5,3410,10769,2.0,0,0,3,10,3410,0,2008,0,98004,47.6081,-122.198,2014,5
4632,3,1.0,1400,6879,1.0,0,0,3,7,1400,0,1951,0,98155,47.7508,-122.286,2015,3
4641,4,2.5,3700,63991,2.0,0,0,3,10,3700,0,1992,0,98077,47.7319,-122.051,2015,2
4642,4,1.75,1400,11934,1.0,0,0,3,7,1050,350,1961,0,98028,47.7346,-122.244,2015,2
4644,4,3.0,2170,5764,2.0,0,0,3,8,2170,0,1992,0,98029,47.5673,-121.999,2014,7
4650,2,1.75,1710,8645,1.0,0,0,4,7,1510,200,1923,0,98115,47.7005,-122.313,2014,7
4653,4,1.5,1370,9750,1.0,0,0,3,7,1070,300,1953,0,98168,47.4718,-122.323,2014,8
4655,3,2.25,1650,6250,1.5,0,0,3,7,1650,0,1910,0,98116,47.5639,-122.4,2015,2
4658,3,2.25,2080,12134,1.0,0,0,4,8,1530,550,1973,0,98052,47.6315,-122.102,2014,7
4663,4,3.25,3140,10752,2.0,0,0,3,7,2300,840,1992,0,98146,47.5022,-122.363,2014,10
4664,3,1.0,1250,7280,1.0,0,0,3,7,1250,0,1975,0,98052,47.6986,-122.129,2015,1
4667,4,2.5,2490,8290,2.0,0,0,3,9,2490,0,1999,0,98092,47.3305,-122.171,2014,5
4668,2,1.0,800,5000,1.0,0,0,3,6,800,0,1938,0,98055,47.4914,-122.204,2015,4
4677,3,1.0,1030,4089,1.5,0,0,3,7,1030,0,1927,0,98116,47.574,-122.385,2015,5
